Timestamp;Power_Electricity
2017-01-04 00:00;4862.344727
2017-01-04 00:15;4265.78418
2017-01-04 00;6258.118652
2017-01-04 00:45;4221.657715
2017-01-04 01:00;6292.260254
2017-01-04 01:15;5045.942871
2017-01-04 01;4286.163086
2017-01-04 01:45;20.55378914
2017-01-04 02:00;-9727.28125
2017-01-04 02:15;-8171.641113
2017-01-04 02;-9627.452148
2017-01-04 02:45;-7537.353516
2017-01-04 03:00;-7844.189453
2017-01-04 03:15;-7683.166504
2017-01-04 03;-7682.494141
2017-01-04 03:45;-7810.039551
2017-01-04 04:00;-7985.577148
2017-01-04 04:15;
2017-01-04 04;-9911.257813
2017-01-04 04:45;-7934.408203
2017-01-04 05:00;-7967.78418
2017-01-04 05:15;-9822.824219
2017-01-04 05;-8146.576172
2017-01-04 05:45;-3701.701172
2017-01-04 06:00;-847.3710938
2017-01-04 06:15;-7301.774902
2017-01-04 06;347.7453003
2017-01-04 06:45;4653.754883
2017-01-04 07:00;6070.790039
2017-01-04 07:15;8087.498047
2017-01-04 07;8171.228027
2017-01-04 07:45;1049.890381
2017-01-04 08:00;1048.721558
2017-01-04 08:15;
2017-01-04 08;8242.368164
2017-01-04 08:45;9038.776367
2017-01-04 09:00;13071.30469
2017-01-04 09:15;13713.53516
2017-01-04 09;6303.32666
2017-01-04 09:45;6317.255859
2017-01-04 10:00;6827.967285
2017-01-04 10:15;11297.41992
2017-01-04 10;13384.0791
2017-01-04 10:45;13695.49316
2017-01-04 11:00;12168.16406
2017-01-04 11:15;6746.734375
2017-01-04 11;5601.85791
2017-01-04 11:45;6219.63623
2017-01-04 12:00;11703.56152
2017-01-04 12:15;12243.49902
2017-01-04 12;11968.21484
2017-01-04 12:45;6284.22998
2017-01-04 13:00;4968.686035
2017-01-04 13:15;7804.896973
2017-01-04 13;11958.6377
2017-01-04 13:45;12256.46387
2017-01-04 14:00;9216.038086
2017-01-04 14:15;5549.081055
2017-01-04 14;6651.875977
2017-01-04 14:45;12928.42383
2017-01-04 15:00;13085.75391
2017-01-04 15:15;9996.513672
2017-01-04 15;5858.45166
2017-01-04 15:45;5449.431641
2017-01-04 16:00;12726.32715
2017-01-04 16:15;12342.08594
2017-01-04 16;9946.959961
2017-01-04 16:45;5195.95166
2017-01-04 17:00;5714.730957
2017-01-04 17:15;11131.36816
2017-01-04 17;11936.88867
2017-01-04 17:45;11598.64648
2017-01-04 18:00;4803.183594
2017-01-04 18:15;5077.820313
2017-01-04 18;10939.1543
2017-01-04 18:45;13974.88672
2017-01-04 19:00;11613.29492
2017-01-04 19:15;6651.544922
2017-01-04 19;5268.941895
2017-01-04 19:45;11796.38477
2017-01-04 20:00;13961.12793
2017-01-04 20:15;6926.76416
2017-01-04 20;4925.237305
2017-01-04 20:45;7823.850098
2017-01-04 21:00;14073.62402
2017-01-04 21:15;11633.87891
2017-01-04 21;4911.650391
2017-01-04 21:45;4255.319336
2017-01-04 22:00;6291.936523
2017-01-04 22:15;6504.034668
2017-01-04 22;6573.731934
2017-01-04 22:45;8411.808594
2017-01-04 23:00;4498.023438
2017-01-04 23:15;4343.59082
2017-01-04 23;6240.246094
2017-01-04 23:45;4347.683594
2017-02-04 00:00;6254.160645
2017-02-04 00:15;4220.160645
2017-02-04 00;4211.030273
2017-02-04 00:45;6196.319824
2017-02-04 01:00;4367.827637
2017-02-04 01:15;6211.341309
2017-02-04 01;6282.335449
2017-02-04 01:45;6361.111816
2017-02-04 02:00;6246.094238
2017-02-04 02:15;-1522.32312
2017-02-04 02;2295.007324
2017-02-04 02:45;2493.171143
2017-02-04 03:00;-1617.628418
2017-02-04 03:15;-5982.810059
2017-02-04 03;-9630.65625
2017-02-04 03:45;-7734.778809
2017-02-04 04:00;-6678.794434
2017-02-04 04:15;-7774.340332
2017-02-04 04;-7755.79248
2017-02-04 04:45;-9755.038086
2017-02-04 05:00;-8011.584961
2017-02-04 05:15;-7775.995117
2017-02-04 05;92.28029633
2017-02-04 05:45;5832.018555
2017-02-04 06:00;3512.9375
2017-02-04 06:15;1006.499817
2017-02-04 06;2573.654541
2017-02-04 06:45;5755.536621
2017-02-04 07:00;8084.621582
2017-02-04 07:15;6180.968262
2017-02-04 07;1946.67334
2017-02-04 07:45;500.7028198
2017-02-04 08:00;3379.582031
2017-02-04 08:15;7933.14209
2017-02-04 08;6806.494629
2017-02-04 08:45;2202.144043
2017-02-04 09:00;-1218.430054
2017-02-04 09:15;2541.018555
2017-02-04 09;6061.730469
2017-02-04 09:45;8143.866699
2017-02-04 10:00;12408.47656
2017-02-04 10:15;6057.292969
2017-02-04 10;6767.159668
2017-02-04 10:45;5214.395996
2017-02-04 11:00;12839.20898
2017-02-04 11:15;12045.45605
2017-02-04 11;14035.71875
2017-02-04 11:45;10262.9248
2017-02-04 12:00;4510.70752
2017-02-04 12:15;6808.798828
2017-02-04 12;10447.40039
2017-02-04 12:45;14056.09473
2017-02-04 13:00;12000.0127
2017-02-04 13:15;5867.533203
2017-02-04 13;6927.061523
2017-02-04 13:45;7198.244141
2017-02-04 14:00;11863.0
2017-02-04 14:15;14093.5752
2017-02-04 14;10800.32227
2017-02-04 14:45;4751.655273
2017-02-04 15:00;6710.738281
2017-02-04 15:15;7105.29541
2017-02-04 15;11639.78516
2017-02-04 15:45;11756.77148
2017-02-04 16:00;12945.40723
2017-02-04 16:15;4560.986816
2017-02-04 16;4659.351074
2017-02-04 16:45;9608.378906
2017-02-04 17:00;11536.5
2017-02-04 17:15;13031.99512
2017-02-04 17;4485.702148
2017-02-04 17:45;4804.356445
2017-02-04 18:00;13616.6377
2017-02-04 18:15;13662.35449
2017-02-04 18;5456.84082
2017-02-04 18:45;6526.714355
2017-02-04 19:00;11292.43164
2017-02-04 19:15;13775.56348
2017-02-04 19;6101.521973
2017-02-04 19:45;6548.138184
2017-02-04 20:00;11549.63281
2017-02-04 20:15;11922.40625
2017-02-04 20;10293.96094
2017-02-04 20:45;4872.126953
2017-02-04 21:00;9115.882813
2017-02-04 21:15;12035.12598
2017-02-04 21;13603.65527
2017-02-04 21:45;4331.580078
2017-02-04 22:00;6049.945801
2017-02-04 22:15;8302.019531
2017-02-04 22;4305.54541
2017-02-04 22:45;8127.717773
2017-02-04 23:00;6515.126953
2017-02-04 23:15;6338.577148
2017-02-04 23;-172.8246918
2017-02-04 23:45;37.88677216
2017-03-04 00:00;2311.233643
2017-03-04 00:15;-1583.651367
2017-03-04 00;-6667.658203
2017-03-04 00:45;-1866.20752
2017-03-04 01:00;-8267.115234
2017-03-04 01:15;-8010.368652
2017-03-04 01;-9955.338867
2017-03-04 01:45;-7984.311035
2017-03-04 02:00;-9879.87793
2017-03-04 02:15;-7837.023926
2017-03-04 02;-7795.081543
2017-03-04 02:45;-6171.492676
2017-03-04 03:00;-8120.853516
2017-03-04 03:15;-9948.911133
2017-03-04 03;-7870.818359
2017-03-04 03:45;-10021.3457
2017-03-04 04:00;-8003.070313
2017-03-04 04:15;-7910.18457
2017-03-04 04;-8000.92041
2017-03-04 04:45;-127.7797852
2017-03-04 05:00;-1730.708374
2017-03-04 05:15;-138.2611847
2017-03-04 05;-101.4714508
2017-03-04 05:45;-106.4612579
2017-03-04 06:00;-72.13766479
2017-03-04 06:15;-1697.059448
2017-03-04 06;-89.06881714
2017-03-04 06:45;-221.1993866
2017-03-04 07:00;-2056.418457
2017-03-04 07:15;-114.5362396
2017-03-04 07;-199.5706024
2017-03-04 07:45;-92.30569458
2017-03-04 08:00;
2017-03-04 08:15;-1763.717773
2017-03-04 08;-89.41758728
2017-03-04 08:45;-118.3071671
2017-03-04 09:00;-1765.339844
2017-03-04 09:15;-217.9065399
2017-03-04 09;-1702.771118
2017-03-04 09:45;-174.7536469
2017-03-04 10:00;-1777.245361
2017-03-04 10:15;4154.516602
2017-03-04 10;6012.955566
2017-03-04 10:45;4121.746094
2017-03-04 11:00;4093.309082
2017-03-04 11:15;6007.724609
2017-03-04 11;4058.927979
2017-03-04 11:45;4014.499756
2017-03-04 12:00;5862.723145
2017-03-04 12:15;4096.473633
2017-03-04 12;4164.666016
2017-03-04 12:45;4099.403809
2017-03-04 13:00;6036.773438
2017-03-04 13:15;4138.675293
2017-03-04 13;4121.715332
2017-03-04 13:45;4073.806152
2017-03-04 14:00;4034.483887
2017-03-04 14:15;3911.159912
2017-03-04 14;4087.28833
2017-03-04 14:45;5950.512695
2017-03-04 15:00;3937.852783
2017-03-04 15:15;3924.330078
2017-03-04 15;3996.433105
2017-03-04 15:45;5973.645996
2017-03-04 16:00;4048.427734
2017-03-04 16:15;3943.682373
2017-03-04 16;6009.859375
2017-03-04 16:45;
2017-03-04 17:00;3876.023926
2017-03-04 17:15;5976.464355
2017-03-04 17;3914.693115
2017-03-04 17:45;5951.66748
2017-03-04 18:00;3999.42749
2017-03-04 18:15;5917.915527
2017-03-04 18;5469.849121
2017-03-04 18:45;3955.080078
2017-03-04 19:00;6074.619141
2017-03-04 19:15;4103.41748
2017-03-04 19;5969.289063
2017-03-04 19:45;4167.133789
2017-03-04 20:00;4074.670898
2017-03-04 20:15;6034.070313
2017-03-04 20;4185.821777
2017-03-04 20:45;6146.467773
2017-03-04 21:00;4084.010742
2017-03-04 21:15;6261.088867
2017-03-04 21;6195.552734
2017-03-04 21:45;4400.73877
2017-03-04 22:00;6127.44873
2017-03-04 22:15;6187.51416
2017-03-04 22;118.6007538
2017-03-04 22:45;-291.5870972
2017-03-04 23:00;-5739.535156
2017-03-04 23:15;-7923.714355
2017-03-04 23;-5950.474121
2017-03-04 23:45;-5835.615234
2017-04-04 00:00;-9963.708008
2017-04-04 00:15;-5903.808105
2017-04-04 00;-8009.10791
2017-04-04 00:45;-6196.011719
2017-04-04 01:00;-8176.197754
2017-04-04 01:15;-7931.95166
2017-04-04 01;-8326.575195
2017-04-04 01:45;-6284.649414
2017-04-04 02:00;-8293.586914
2017-04-04 02:15;-7973.87793
2017-04-04 02;-6229.628906
2017-04-04 02:45;-7894.210938
2017-04-04 03:00;-10027.6582
2017-04-04 03:15;-8115.941406
2017-04-04 03;-7827.25293
2017-04-04 03:45;-7929.45166
2017-04-04 04:00;-8159.758301
2017-04-04 04:15;-6401.945313
2017-04-04 04;-7944.048828
2017-04-04 04:45;-8056.354004
2017-04-04 05:00;-8167.80957
2017-04-04 05:15;-8097.569824
2017-04-04 05;-8040.82959
2017-04-04 05:45;-8217.051758
2017-04-04 06:00;-62.18870544
2017-04-04 06:15;-107.0615845
2017-04-04 06;217.2659912
2017-04-04 06:45;-180.8933105
2017-04-04 07:00;-170.2464447
2017-04-04 07:15;-96.08757782
2017-04-04 07;-174.444397
2017-04-04 07:45;-74.86035919
2017-04-04 08:00;-2017.547974
2017-04-04 08:15;-105.4097443
2017-04-04 08;-80.95542145
2017-04-04 08:45;-1816.53186
2017-04-04 09:00;-39.78609848
2017-04-04 09:15;-2076.837402
2017-04-04 09;5958.278809
2017-04-04 09:45;4094.666016
2017-04-04 10:00;6010.646973
2017-04-04 10:15;4264.842285
2017-04-04 10;4059.445068
2017-04-04 10:45;6272.657227
2017-04-04 11:00;4029.734131
2017-04-04 11:15;4190.194336
2017-04-04 11;6005.14209
2017-04-04 11:45;3782.932617
2017-04-04 12:00;3877.119385
2017-04-04 12:15;4020.959961
2017-04-04 12;4024.602783
2017-04-04 12:45;4074.190918
2017-04-04 13:00;4114.77002
2017-04-04 13:15;6731.165527
2017-04-04 13;4089.893799
2017-04-04 13:45;4065.0
2017-04-04 14:00;4130.879883
2017-04-04 14:15;3952.111816
2017-04-04 14;4302.160156
2017-04-04 14:45;3933.120117
2017-04-04 15:00;4042.919922
2017-04-04 15:15;5945.519043
2017-04-04 15;4140.430176
2017-04-04 15:45;4026.12793
2017-04-04 16:00;5619.165039
2017-04-04 16:15;3896.416748
2017-04-04 16;3896.487061
2017-04-04 16:45;5939.237305
2017-04-04 17:00;3902.580322
2017-04-04 17:15;3977.028809
2017-04-04 17;5775.547363
2017-04-04 17:45;3845.159912
2017-04-04 18:00;5907.706055
2017-04-04 18:15;3981.403076
2017-04-04 18;3921.184814
2017-04-04 18:45;5824.599121
2017-04-04 19:00;4062.042236
2017-04-04 19:15;5881.349121
2017-04-04 19;4113.993164
2017-04-04 19:45;5674.631836
2017-04-04 20:00;5948.390625
2017-04-04 20:15;4000.105225
2017-04-04 20;6117.945313
2017-04-04 20:45;4294.697266
2017-04-04 21:00;6218.279785
2017-04-04 21:15;6096.65332
2017-04-04 21;4200.431641
2017-04-04 21:45;6129.653809
2017-04-04 22:00;6018.597168
2017-04-04 22:15;377.9593201
2017-04-04 22;-4253.104492
2017-04-04 22:45;-7916.397949
2017-04-04 23:00;-8734.068359
2017-04-04 23:15;-5795.424316
2017-04-04 23;-7860.730957
2017-04-04 23:45;-5786.154785
2017-05-04 00:00;-7917.727051
2017-05-04 00:15;-8128.227051
2017-05-04 00;-9750.44043
2017-05-04 00:45;-6516.474609
2017-05-04 01:00;-8118.073242
2017-05-04 01:15;-7951.810059
2017-05-04 01;-7198.817383
2017-05-04 01:45;-7919.423828
2017-05-04 02:00;-7806.408203
2017-05-04 02:15;-8145.376465
2017-05-04 02;-7802.998535
2017-05-04 02:45;-8144.425781
2017-05-04 03:00;-7972.769043
2017-05-04 03:15;-7275.015625
2017-05-04 03;-7504.855957
2017-05-04 03:45;-8290.259766
2017-05-04 04:00;-6296.784668
2017-05-04 04:15;-5877.225586
2017-05-04 04;-6278.226563
2017-05-04 04:45;-8133.774902
2017-05-04 05:00;-8155.527344
2017-05-04 05:15;-8119.648438
2017-05-04 05;-10118.2002
2017-05-04 05:45;7783.410156
2017-05-04 06:00;7675.042969
2017-05-04 06:15;7369.894531
2017-05-04 06;1662.965576
2017-05-04 06:45;-884.9431152
2017-05-04 07:00;6275.699219
2017-05-04 07:15;7979.86084
2017-05-04 07;7884.734863
2017-05-04 07:45;7862.766602
2017-05-04 08:00;11887.83594
2017-05-04 08:15;13794.55762
2017-05-04 08;11848.36719
2017-05-04 08:45;12390.54785
2017-05-04 09:00;10261.32031
2017-05-04 09:15;12510.95703
2017-05-04 09;12251.03711
2017-05-04 09:45;11188.74512
2017-05-04 10:00;13470.27734
2017-05-04 10:15;11359.30762
2017-05-04 10;13520.95117
2017-05-04 10:45;13677.99707
2017-05-04 11:00;11938.64258
2017-05-04 11:15;13848.54688
2017-05-04 11;11899.07617
2017-05-04 11:45;12562.02539
2017-05-04 12:00;9221.307617
2017-05-04 12:15;4727.670898
2017-05-04 12;6537.87207
2017-05-04 12:45;4656.519531
2017-05-04 13:00;6667.141113
2017-05-04 13:15;9698.371094
2017-05-04 13;10247.21875
2017-05-04 13:45;13803.82324
2017-05-04 14:00;13272.62695
2017-05-04 14:15;12450.62402
2017-05-04 14;13808.63281
2017-05-04 14:45;9164.066406
2017-05-04 15:00;7393.338379
2017-05-04 15:15;6562.369629
2017-05-04 15;6625.727051
2017-05-04 15:45;10192.10547
2017-05-04 16:00;12061.17578
2017-05-04 16:15;13612.30762
2017-05-04 16;13942.36621
2017-05-04 16:45;10275.96875
2017-05-04 17:00;6360.259766
2017-05-04 17:15;6656.865234
2017-05-04 17;7825.834961
2017-05-04 17:45;13470.1582
2017-05-04 18:00;11812.71484
2017-05-04 18:15;13790.99023
2017-05-04 18;9474.796875
2017-05-04 18:45;4789.696777
2017-05-04 19:00;6903.164551
2017-05-04 19:15;11273.50781
2017-05-04 19;13525.67383
2017-05-04 19:45;13870.10059
2017-05-04 20:00;11507.85352
2017-05-04 20:15;6729.237305
2017-05-04 20;7028.809082
2017-05-04 20:45;9170.43457
2017-05-04 21:00;13705.74707
2017-05-04 21:15;13881.55859
2017-05-04 21;10948.11523
2017-05-04 21:45;6384.3125
2017-05-04 22:00;6101.629883
2017-05-04 22:15;-5047.218262
2017-05-04 22;-7707.000977
2017-05-04 22:45;-7813.676758
2017-05-04 23:00;-7694.255371
2017-05-04 23:15;-6176.359863
2017-05-04 23;-5860.069824
